Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8522,18,17,2,2,1,Stick,18,Win
8523,20,24,2,3,4,Stick,20,Win
8524,18,17,5,2,9,Hit Hit Hit Stick,9 15 16 18,Win
8525,25,12,3,2,2,Hit,15,Loss
8526,19,19,2,3,1,Stick,19,Draw
8527,20,23,2,3,7,Stick,20,Win
8528,18,22,3,4,4,Hit Stick,12 18,Win
8529,22,12,3,2,10,Hit,12,Loss
8530,18,21,3,3,7,Hit Stick,13 18,Loss
8531,25,20,3,2,10,Hit,18,Loss
8532,21,18,2,3,6,Stick,21,Win
8533,22,19,4,2,8,Hit Hit,13 13,Loss
8534,20,24,2,4,10,Stick,20,Win
8535,22,19,5,2,10,Hit Hit Hit,14 18 14,Loss
8536,21,17,3,2,7,Hit Stick,14 21,Win
8537,25,15,3,2,7,Hit,15,Loss
8538,23,12,3,2,2,Hit,13,Loss
8539,17,19,3,3,6,Hit Stick,12 17,Loss
8540,21,19,4,2,10,Hit Hit Stick,9 13 21,Win
8541,14,24,2,3,8,Stick,14,Win
8542,20,21,2,3,10,Stick,20,Loss
8543,20,25,3,4,1,Hit Stick,12 20,Win
8544,20,17,2,3,1,Stick,20,Win
8545,24,8,5,2,6,Hit Hit Hit,5 7 14,Loss
8546,17,17,2,2,7,Stick,17,Draw
8547,17,18,4,3,3,Hit Hit Stick,12 13 17,Loss
8548,15,24,2,3,4,Stick,15,Win
8549,18,21,3,3,4,Hit Stick,12 18,Loss
8550,15,24,3,3,8,Hit Stick,12 15,Win
8551,17,21,2,3,5,Stick,17,Loss
8552,20,18,3,4,1,Hit Stick,12 20,Win
8553,20,19,2,2,10,Stick,20,Win
8554,20,19,3,2,10,Hit Stick,9 20,Win
8555,23,6,4,2,2,Hit Hit,11 14,Loss
8556,20,18,2,3,10,Stick,20,Win
8557,18,23,2,5,2,Stick,18,Win
8558,26,20,4,2,10,Hit Hit,12 16,Loss
8559,18,23,2,4,5,Stick,18,Win
8560,13,24,2,3,5,Stick,13,Win
8561,23,21,4,2,1,Hit Hit,15 14,Loss
8562,20,24,3,4,10,Hit Stick,10 20,Win
8563,18,18,2,3,2,Stick,18,Draw
8564,24,14,4,2,7,Hit Hit,10 14,Loss
8565,17,26,3,5,5,Hit Stick,13 17,Win
8566,20,19,2,2,9,Stick,20,Win
8567,23,17,3,2,7,Hit,13,Loss
8568,18,18,2,2,9,Stick,18,Draw
8569,21,21,2,3,5,Stick,21,Draw
8570,17,17,3,2,10,Hit Stick,7 17,Draw
8571,21,18,3,3,5,Hit Stick,11 21,Win
8572,12,19,2,3,8,Stick,12,Loss
8573,20,21,3,3,3,Hit Stick,13 20,Loss
8574,20,22,2,3,10,Stick,20,Win
8575,19,17,4,3,6,Hit Hit Stick,11 12 19,Win
8576,17,21,2,3,6,Stick,17,Loss
8577,18,20,2,3,3,Stick,18,Loss
8578,20,25,4,5,2,Hit Hit Stick,10 12 20,Win
8579,18,18,2,3,6,Stick,18,Draw
8580,20,19,2,2,10,Stick,20,Win
8581,21,20,4,2,10,Hit Hit Stick,17 18 21,Win
8582,19,19,2,2,9,Stick,19,Draw
8583,20,19,2,3,3,Stick,20,Win
8584,20,20,2,4,5,Stick,20,Draw
8585,19,18,2,2,1,Stick,19,Win
8586,16,17,2,2,10,Stick,16,Loss
8587,20,18,3,3,3,Hit Stick,19 20,Win
8588,14,17,2,3,2,Stick,14,Loss
8589,26,21,4,2,10,Hit Hit,14 16,Loss
8590,18,18,3,2,9,Hit Stick,16 18,Draw
8591,19,22,2,5,4,Stick,19,Win
8592,14,24,2,4,8,Stick,14,Win
8593,20,18,3,3,2,Hit Stick,13 20,Win
8594,16,17,2,3,4,Stick,16,Loss
8595,12,25,2,3,5,Stick,12,Win
8596,23,20,4,2,10,Hit Hit,14 17,Loss
8597,20,21,2,4,5,Stick,20,Loss
8598,15,23,3,3,5,Hit Stick,15 15,Win
8599,13,20,2,3,5,Stick,13,Loss
8600,15,21,2,4,10,Stick,15,Loss
8601,18,17,3,3,4,Hit Stick,12 18,Win
8602,19,25,2,5,2,Stick,19,Win
8603,20,17,4,2,7,Hit Hit Stick,14 13 20,Win
8604,20,18,3,2,8,Hit Stick,16 20,Win
8605,21,20,4,2,10,Hit Hit Stick,12 13 21,Win
8606,20,24,2,3,6,Stick,20,Win
8607,18,17,2,3,9,Stick,18,Win
8608,22,9,4,2,2,Hit Hit,15 15,Loss
8609,24,9,3,2,5,Hit,14,Loss
8610,23,12,4,2,3,Hit Hit,8 13,Loss
8611,20,25,3,4,5,Hit Stick,12 20,Win
8612,16,24,3,3,4,Hit Stick,12 16,Win
8613,22,18,4,2,10,Hit Hit,17 12,Loss
8614,21,21,3,3,10,Hit Stick,13 21,Draw
8615,16,19,2,3,6,Stick,16,Loss
8616,24,20,3,2,10,Hit,14,Loss
8617,13,20,2,4,10,Stick,13,Loss
8618,17,17,2,2,8,Stick,17,Draw
8619,16,24,2,4,10,Stick,16,Win
8620,13,17,2,3,4,Stick,13,Loss
8621,23,19,3,2,10,Hit,13,Loss
8622,18,21,2,3,10,Stick,18,Loss
8623,27,18,3,2,8,Hit,17,Loss
8624,12,18,2,3,1,Stick,12,Loss
8625,16,21,4,3,7,Hit Hit Stick,16 18 16,Loss
8626,26,21,4,2,1,Hit Hit,14 17,Loss
8627,16,25,2,3,9,Stick,16,Win
8628,20,20,2,3,2,Stick,20,Draw
8629,21,20,3,2,10,Hit Stick,17 21,Win
8630,21,24,2,3,6,Stick,21,Win
8631,18,18,4,2,7,Hit Hit Stick,13 14 18,Draw
8632,21,17,5,3,2,Hit Hit Hit Stick,5 11 14 21,Win
8633,16,18,2,3,8,Stick,16,Loss
8634,17,20,2,3,8,Stick,17,Loss
8635,25,19,5,2,10,Hit Hit Hit,9 11 16,Loss
8636,15,19,2,3,10,Stick,15,Loss
8637,18,17,2,2,7,Stick,18,Win
8638,21,17,2,2,7,Stick,21,Win
8639,26,17,4,2,6,Hit Hit,12 16,Loss
8640,16,23,2,3,10,Stick,16,Win
8641,21,21,4,3,4,Hit Hit Stick,8 10 21,Draw
8642,19,19,2,2,9,Stick,19,Draw
8643,21,19,2,3,10,Stick,21,Win
8644,18,23,2,4,10,Stick,18,Win
8645,25,19,3,2,10,Hit,18,Loss
8646,17,17,3,2,10,Hit Stick,13 17,Draw
8647,26,12,4,2,2,Hit Hit,10 16,Loss
8648,20,21,2,3,5,Stick,20,Loss
8649,23,14,5,2,4,Hit Hit Hit,12 15 13,Loss
