Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
5397,16,22,2,3,8,Stick,16,Win
5398,16,21,3,4,5,Hit Stick,6 16,Loss
5399,23,18,3,2,10,Hit,13,Loss
5400,19,19,3,2,9,Hit Stick,13 19,Draw
5401,26,19,3,2,8,Hit,17,Loss
5402,20,19,2,2,9,Stick,20,Win
5403,21,20,3,2,10,Hit Stick,13 21,Win
5404,14,18,2,3,3,Stick,14,Loss
5405,16,22,5,4,2,Hit Hit Hit Stick,14 16 15 16,Win
5406,16,18,2,4,10,Stick,16,Loss
5407,21,17,3,2,7,Hit Stick,12 21,Win
5408,15,18,2,4,9,Stick,15,Loss
5409,15,22,3,3,2,Hit Stick,10 15,Win
5410,18,17,2,4,4,Stick,18,Win
5411,19,19,5,2,1,Hit Hit Hit Stick,4 11 16 19,Draw
5412,21,22,2,3,6,Stick,21,Win
5413,27,19,4,2,10,Hit Hit,12 18,Loss
5414,20,22,2,3,3,Stick,20,Win
5415,16,22,2,4,3,Stick,16,Win
5416,23,19,3,2,9,Hit,13,Loss
5417,18,17,2,3,7,Stick,18,Win
5418,26,20,4,2,10,Hit Hit,9 16,Loss
5419,20,21,2,3,10,Stick,20,Loss
5420,14,24,2,3,9,Stick,14,Win
5421,24,20,4,2,10,Hit Hit,12 14,Loss
5422,25,7,3,2,3,Hit,15,Loss
5423,20,18,3,3,4,Hit Stick,9 20,Win
5424,20,22,2,3,10,Stick,20,Win
5425,13,24,2,3,8,Stick,13,Win
5426,18,21,2,4,7,Stick,18,Loss
5427,19,23,2,3,6,Stick,19,Win
5428,16,23,2,3,10,Stick,16,Win
5429,16,25,5,4,3,Hit Hit Hit Stick,12 13 14 16,Win
5430,17,18,3,3,10,Hit Stick,7 17,Loss
5431,17,17,3,3,4,Hit Stick,15 17,Draw
5432,18,18,2,2,8,Stick,18,Draw
5433,20,23,2,3,7,Stick,20,Win
5434,15,24,2,4,3,Stick,15,Win
5435,21,20,3,2,10,Hit Stick,16 21,Win
5436,21,18,4,3,6,Hit Hit Stick,12 14 21,Win
5437,16,21,3,2,10,Hit Stick,12 16,Loss
5438,22,14,3,2,4,Hit,12,Loss
5439,18,18,3,2,10,Hit Stick,10 18,Draw
5440,19,23,2,3,6,Stick,19,Win
5441,21,17,2,2,8,Stick,21,Win
5442,24,21,3,2,10,Hit,18,Loss
5443,16,17,2,4,4,Stick,16,Loss
5444,20,20,2,3,6,Stick,20,Draw
5445,25,17,3,2,10,Hit,15,Loss
5446,20,18,2,2,10,Stick,20,Win
5447,25,20,4,2,1,Hit Hit,12 15,Loss
5448,20,17,2,4,5,Stick,20,Win
5449,23,9,3,2,6,Hit,13,Loss
5450,19,23,2,4,2,Stick,19,Win
5451,17,22,3,3,6,Hit Stick,9 17,Win
5452,17,17,2,3,10,Stick,17,Draw
5453,14,26,2,3,6,Stick,14,Win
5454,20,23,2,4,6,Stick,20,Win
5455,23,8,3,2,2,Hit,15,Loss
5456,18,20,2,4,4,Stick,18,Loss
5457,21,18,3,2,10,Hit Stick,14 21,Win
5458,15,22,2,3,3,Stick,15,Win
5459,22,21,4,2,10,Hit Hit,12 15,Loss
5460,27,20,4,2,10,Hit Hit,15 17,Loss
5461,21,17,4,2,10,Hit Hit Stick,11 12 21,Win
5462,21,20,2,2,1,Stick,21,Win
5463,13,20,2,3,6,Stick,13,Loss
5464,20,19,2,3,5,Stick,20,Win
5465,20,18,3,2,8,Hit Stick,14 20,Win
5466,20,18,3,3,10,Hit Stick,16 20,Win
5467,20,21,2,4,3,Stick,20,Loss
5468,14,25,2,5,3,Stick,14,Win
5469,13,26,2,5,1,Stick,13,Win
5470,20,23,2,3,8,Stick,20,Win
5471,21,19,4,2,10,Hit Hit Stick,12 18 21,Win
5472,16,18,2,5,5,Stick,16,Loss
5473,22,10,3,2,8,Hit,12,Loss
5474,21,18,3,2,10,Hit Stick,17 21,Win
5475,26,20,3,2,10,Hit,17,Loss
5476,20,18,2,3,8,Stick,20,Win
5477,12,22,2,3,10,Stick,12,Win
5478,22,10,4,2,5,Hit Hit,7 12,Loss
5479,21,17,2,2,7,Stick,21,Win
5480,22,20,4,2,1,Hit Hit,16 19,Loss
5481,18,26,2,3,7,Stick,18,Win
5482,19,19,3,4,8,Hit Stick,17 19,Draw
5483,24,17,4,2,10,Hit Hit,7 14,Loss
5484,18,26,3,5,10,Hit Stick,8 18,Win
5485,19,19,2,4,2,Stick,19,Draw
5486,21,17,2,3,6,Stick,21,Win
5487,22,20,3,2,10,Hit,17,Loss
5488,17,18,2,3,4,Stick,17,Loss
5489,17,24,3,4,5,Hit Stick,17 17,Win
5490,26,17,4,2,10,Hit Hit,10 16,Loss
5491,27,21,3,2,1,Hit,17,Loss
5492,18,18,2,3,10,Stick,18,Draw
5493,15,24,3,4,7,Hit Stick,6 15,Win
5494,16,22,4,4,1,Hit Hit Stick,7 10 16,Win
5495,26,21,3,2,1,Hit,19,Loss
5496,15,20,3,3,8,Hit Stick,15 15,Loss
5497,24,20,3,2,10,Hit,15,Loss
5498,15,17,2,4,8,Stick,15,Loss
5499,17,22,2,4,2,Stick,17,Win
5500,13,19,4,3,8,Hit Hit Stick,8 11 13,Loss
5501,19,19,2,2,10,Stick,19,Draw
5502,28,20,3,2,10,Hit,18,Loss
5503,20,20,4,4,6,Hit Hit Stick,8 13 20,Draw
5504,19,19,2,2,9,Stick,19,Draw
5505,19,25,2,4,8,Stick,19,Win
5506,17,17,2,3,6,Stick,17,Draw
5507,15,19,3,3,6,Hit Stick,10 15,Loss
5508,21,22,2,3,9,Stick,21,Win
5509,13,22,2,4,2,Stick,13,Win
5510,23,18,3,2,10,Hit,13,Loss
5511,21,18,2,3,5,Stick,21,Win
5512,26,18,4,2,9,Hit Hit,13 17,Loss
5513,20,19,2,3,4,Stick,20,Win
5514,21,21,3,2,1,Hit Stick,14 21,Draw
5515,21,17,3,3,7,Hit Stick,12 21,Win
5516,16,24,2,3,10,Stick,16,Win
5517,22,10,4,2,6,Hit Hit,14 14,Loss
5518,28,21,3,2,1,Hit,20,Loss
5519,24,17,3,2,7,Hit,14,Loss
5520,21,18,2,3,6,Stick,21,Win
5521,23,19,4,2,9,Hit Hit,12 17,Loss
5522,19,22,2,3,2,Stick,19,Win
5523,15,18,3,4,8,Hit Stick,17 15,Loss
5524,18,18,2,3,5,Stick,18,Draw
5525,14,24,2,4,4,Stick,14,Win
5526,21,17,2,3,1,Stick,21,Win
5527,16,19,2,3,3,Stick,16,Loss
5528,22,21,3,2,10,Hit,13,Loss
5529,16,22,3,3,6,Hit Stick,11 16,Win
5530,17,17,2,2,10,Stick,17,Draw
5531,20,19,2,2,9,Stick,20,Win
5532,19,26,4,4,2,Hit Hit Stick,8 12 19,Win
5533,20,17,3,2,7,Hit Stick,14 20,Win
5534,18,20,3,2,10,Hit Stick,14 18,Loss
5535,20,18,2,2,10,Stick,20,Win
5536,19,21,6,2,10,Hit Hit Hit Hit Stick,20 12 13 14 19,Loss
5537,19,19,2,3,8,Stick,19,Draw
5538,20,21,2,3,9,Stick,20,Loss
5539,25,18,5,2,8,Hit Hit Hit,7 10 15,Loss
5540,18,19,3,3,2,Hit Stick,9 18,Loss
5541,17,21,5,3,7,Hit Hit Hit Stick,6 17 19 17,Loss
5542,15,21,2,4,1,Stick,15,Loss
5543,24,9,5,2,4,Hit Hit Hit,12 12 14,Loss
5544,13,21,2,3,9,Stick,13,Loss
5545,17,19,2,3,3,Stick,17,Loss
5546,14,24,2,4,2,Stick,14,Win
5547,26,18,3,2,10,Hit,16,Loss
5548,21,19,2,2,9,Stick,21,Win
5549,21,24,2,3,4,Stick,21,Win
