Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8595,14,19,2,3,6,Stick,14,Loss
8596,26,20,5,2,10,Hit Hit Hit,12 13 18,Loss
8597,20,19,3,3,5,Hit Stick,11 20,Win
8598,13,25,3,3,6,Hit Stick,12 13,Win
8599,15,18,2,3,6,Stick,15,Loss
8600,13,24,2,3,5,Stick,13,Win
8601,15,21,3,3,4,Hit Stick,6 15,Loss
8602,21,21,2,4,4,Stick,21,Win
8603,12,21,2,2,1,Stick,12,Loss
8604,25,18,3,2,10,Hit,15,Loss
8605,12,21,2,2,1,Stick,12,Loss
8606,17,18,2,5,3,Stick,17,Loss
8607,24,7,4,2,5,Hit Hit,10 14,Loss
8608,21,22,2,3,10,Stick,21,Win
8609,22,9,3,2,5,Hit,12,Loss
8610,16,18,2,3,3,Stick,16,Loss
8611,21,18,4,3,2,Hit Hit Stick,7 13 21,Win
8612,20,17,2,2,10,Stick,20,Win
8613,22,20,4,2,10,Hit Hit,16 18,Loss
8614,12,23,2,4,9,Stick,12,Win
8615,20,18,2,3,10,Stick,20,Win
8616,20,19,2,4,4,Stick,20,Win
8617,13,21,3,4,4,Hit Stick,8 13,Loss
8618,20,23,2,4,10,Stick,20,Win
8619,19,21,2,3,9,Stick,19,Loss
8620,18,25,2,3,5,Stick,18,Win
8621,16,18,2,4,3,Stick,16,Loss
8622,16,18,3,3,10,Hit Stick,12 16,Loss
8623,20,22,3,3,7,Hit Stick,10 20,Win
8624,19,26,2,4,5,Stick,19,Win
8625,22,10,4,2,7,Hit Hit,9 12,Loss
8626,27,19,3,2,9,Hit,18,Loss
8627,21,19,3,4,5,Hit Stick,11 21,Win
8628,16,21,2,3,3,Stick,16,Loss
8629,20,20,3,2,10,Hit Stick,12 20,Win
8630,12,21,2,2,1,Stick,12,Loss
8631,16,20,3,3,9,Hit Stick,8 16,Loss
8632,18,20,3,4,3,Hit Stick,14 18,Loss
8633,17,24,3,3,10,Hit Stick,9 17,Win
8634,17,23,2,3,9,Stick,17,Win
8635,22,7,5,2,4,Hit Hit Hit,5 10 12,Loss
